Date,Product,Units Sold,Unit Price,Total Revenue
2023-05-08,Product B,6,48.62,291.72
2023-10-11,Product A,20,26.09,521.8
2023-11-18,Product B,2,22.17,44.34
2023-01-13,Product C,13,39.43,512.59
2023-02-20,Product B,12,41.83,501.96
2023-05-30,Product B,1,21.2,21.2
2023-11-24,Product A,18,41.17,741.06
2023-11-18,Product D,16,42.27,676.32
2023-01-12,Product A,8,41.56,332.48
2023-09-12,Product B,12,11.63,139.56
2023-08-04,Product C,2,19.95,39.9
2023-05-15,Product D,18,24.47,440.46
2023-04-30,Product A,17,49.52,841.84
2023-07-08,Product B,14,47.36,663.04
2023-11-26,Product B,11,43.41,477.51
2023-03-20,Product A,3,16.17,48.51
2023-09-12,Product A,19,35.4,672.6
2023-12-21,Product C,15,28.5,427.5
2023-11-16,Product B,15,43.06,645.9
2023-11-26,Product D,5,37.85,189.25
2023-04-03,Product B,1,14.28,14.28
2023-12-12,Product C,12,17.23,206.76
2023-10-09,Product D,16,19.0,304.0
2023-10-27,Product A,12,14.51,174.12
2023-03-16,Product B,19,10.47,198.93
2023-12-06,Product D,15,29.8,447.0
2023-07-02,Product C,9,11.71,105.39
2023-06-28,Product C,1,40.09,40.09
2023-10-29,Product A,2,16.89,33.78
2023-10-28,Product B,20,37.3,746.0
2023-06-11,Product B,9,43.19,388.71
2023-08-16,Product C,13,44.43,577.59
2023-04-24,Product A,1,30.64,30.64
2023-11-15,Product C,3,40.8,122.4
2023-03-30,Product D,16,16.05,256.8
2023-12-31,Product C,14,39.58,554.12
2023-07-23,Product C,19,47.06,894.14
2023-05-20,Product C,15,44.49,667.35
2023-08-28,Product B,16,45.02,720.32
2023-05-30,Product A,5,45.68,228.4
2023-10-23,Product A,12,11.82,141.84
2023-01-13,Product A,5,20.44,102.2
2023-03-30,Product A,11,43.36,476.96
2023-01-22,Product C,17,18.09,307.53
2023-01-22,Product C,4,28.58,114.32
2023-12-04,Product A,9,46.81,421.29
2023-11-27,Product B,14,18.86,264.04
2023-09-25,Product A,13,30.88,401.44
2023-08-07,Product C,7,44.06,308.42
2023-11-26,Product B,1,38.79,38.79
2023-08-21,Product C,20,15.15,303.0
2023-04-11,Product B,16,24.71,395.36
2023-06-20,Product A,18,16.23,292.14
2023-02-21,Product C,7,10.9,76.3
2023-05-15,Product C,14,48.33,676.62
2023-09-15,Product C,7,48.36,338.52
2023-03-31,Product B,11,42.84,471.24
2023-08-03,Product B,6,30.33,181.98
2023-01-14,Product C,15,16.87,253.05
2023-07-28,Product D,5,44.11,220.55
2023-02-02,Product B,14,47.85,669.9
2023-07-20,Product D,13,34.23,444.99
2023-12-05,Product B,2,42.68,85.36
2023-03-22,Product D,4,13.59,54.36
2023-02-21,Product D,10,10.3,103.0
2023-10-26,Product D,17,28.61,486.37
2023-03-05,Product D,15,29.65,444.75
2023-05-06,Product B,6,20.68,124.08
2023-10-23,Product D,12,48.94,587.28
2023-01-01,Product B,2,30.13,60.26
2023-05-21,Product D,18,24.11,433.98
2023-07-20,Product D,18,45.29,815.22
2023-12-26,Product B,18,39.46,710.28
2023-01-02,Product C,2,12.82,25.64
2023-10-17,Product B,3,24.17,72.51
2023-12-13,Product B,7,47.83,334.81
2023-09-18,Product A,8,12.36,98.88
2023-02-26,Product B,10,47.21,472.1
2023-10-28,Product C,13,42.41,551.33
2023-07-13,Product B,1,10.56,10.56
2023-10-03,Product A,18,16.82,302.76
2023-08-16,Product D,9,30.64,275.76
2023-09-07,Product A,12,23.69,284.28
2023-07-10,Product C,20,44.27,885.4
2023-03-12,Product A,4,27.94,111.76
2023-02-18,Product A,14,35.64,498.96
2023-07-13,Product C,6,29.6,177.6
2023-08-28,Product C,12,28.46,341.52
2023-11-03,Product B,8,38.26,306.08
2023-02-16,Product A,19,14.84,281.96
2023-02-28,Product C,9,23.85,214.65
2023-03-15,Product D,4,24.56,98.24
2023-02-11,Product A,5,23.87,119.35
2023-10-10,Product B,18,43.59,784.62
2023-12-03,Product B,10,19.81,198.1
2023-05-19,Product A,4,42.78,171.12
2023-03-20,Product B,16,32.83,525.28
2023-06-01,Product A,13,17.1,222.3
2023-05-22,Product C,8,37.77,302.16
2023-02-20,Product C,14,33.25,465.5
